ID,Name,City,Street,Latitude,Longitude
10566132238,Fitness Guru NOLA,Metairie,David Drive,29.9821123,-90.2121984
10911911941,Anytime Fitness,Slidell,Robert Boulevard,30.2983312,-89.7584738
10913753520,Anytime Fitness,Mandeville,Highway 59,30.3755998,-90.0538485
10914805116,Anytime Fitness,Folsom,Orange Street,30.6264864,-90.1874089
10915888778,Anytime Fitness,Denham Springs,Juban Road,30.4374192,-90.9133609
11073526092,Planet Fitness,Unknown,Unknown,30.3873889,-91.0649422
11076565001,Bright Idea Fitness,Unknown,Unknown,30.1589988,-92.0427405
11101226934,Anytime Fitness,Maurice,Maurice Avenue,30.1056236,-92.1241835
11112621920,Snap Fitness,Prairieville,Highway 42,30.3236274,-90.9286289
11235953871,Fitness Frenzy,Houma,Enterprise Drive,29.6137136,-90.7518809
11496076882,F45 Training,Unknown,Unknown,29.9232347,-90.0878836
11633178985,Friday Night Fights Gym/HQ,Unknown,Unknown,29.9397427,-90.0799834
11671700017,Anytime Fitness,New Orleans,Allen Toussaint Boulevard,30.0209335,-90.1118267
11709008970,Ochsner Fitness,Unknown,Veterans Memorial Boulevard,30.0015582,-90.1239808
11736858395,Planet Fitness,Ruston,North Service Road East,32.5427549,-92.6374243
11823701840,Unknown,Unknown,Unknown,30.4693553,-90.9230213
11990839174,Mantra Yoga Center,Unknown,Unknown,30.2294121,-93.2163816
11990993562,Mayweather,Unknown,Unknown,30.1722701,-93.2498685
11990993565,Anytime Fitness,Lake Charles,Nelson Road,30.1713049,-93.2505118
11991062605,Planet Fitness,Unknown,Unknown,30.1848157,-93.2212431
11992629024,CLUB4 Fitness,Unknown,Unknown,30.1752079,-93.2202448
12212399071,Champion Fitness,Unknown,Unknown,30.4046323,-91.0157062
12249287456,Anytime Fitness,Shreveport,Shreveport Barksdale Highway,32.4782412,-93.7156858
12357136235,Anytime Fitness,Crowley,North Parkerson Avenue,30.224493,-92.3783205
12376903308,Regymen Fitness,Denham Springs,Juban Road,30.4693257,-90.917871
12509953403,Excel Wellness Center,Unknown,Unknown,30.4440308,-91.1720138
187863783,All Hours Fitness,Unknown,Unknown,,
315534704,Spoga,Hammond,West Thomas Street,,
322506179,Bon Temps Classical Pilates,West Monroe,Trenton Street,,
327326733,Student Fitness Center,Unknown,South Norman C. Francis Parkway,,
372272819,Anytime Fitness,New Orleans,Caton Street,,
435326134,North Cypress Fitness Center,Unknown,Unknown,,
440277202,Anytime Fitness,Livingston,Frost Road,,
465797231,Denham Springs Freshman High Gym,Unknown,Unknown,,
465797245,Jacket Gym,Unknown,Unknown,,
465797247,Grady Hornesby Gym,Unknown,Unknown,,
500746830,YMCA,Unknown,Unknown,,
531386628,Lambright Sports & Wellness Center,Unknown,Unknown,,
533502918,24 Hour Fitness,Unknown,Unknown,,
533502931,All Hours FItness,Unknown,Unknown,,
537023520,Unknown,Unknown,Unknown,,
544339990,Wheelock Gym,Unknown,Unknown,,
594777821,Bell Fitness Center,Unknown,Unknown,,
599067424,Red Lerille's Health & Racquet Club,Unknown,Unknown,,
601142870,Turnberry Fitness Center,Unknown,Unknown,,
615611611,Unknown,Unknown,Unknown,,
615658184,Athletes In Motion,Prairieville,Airline Highway,,
617680081,BREC Independence Tennis Center,Unknown,Lobdell Avenue,,
630314249,Snap Fitness,Unknown,Unknown,,
642346677,Gueydan High Gym,Unknown,Unknown,,
643527582,Unknown,Unknown,Unknown,,
654152862,Unknown,Unknown,Unknown,,
654152863,Unknown,Unknown,Unknown,,
702166694,Unknown,Unknown,Unknown,,
704074336,LA Fitness,Slidell,Unknown,,
707894403,Ree Alario Special Needs Center,Metairie,Saints Drive,,
708121998,Unknown,Unknown,Unknown,,
715606410,Snap Fitness,Unknown,Unknown,,
723007516,RevFit Gym,Lafayette,Butcher Switch Rd,,
739438400,LA Fitness,Unknown,Unknown,,
743164904,Blue Sky Yoga,Ruston,West Mississippi Avenue,,
778723800,Spoga Fitness Center,Hammond,C M Fagan Drive,,
807536513,Stone Creek Club and Spa,Covington,Ochsner Boulevard,,
817892390,Intramural Center,Unknown,Unknown,,
817892411,Men's Gym,Unknown,Unknown,,
818634440,Anytime Fitness,Denham Springs (Watson),Highway 16,,
847824634,Transform FX Fitness,Unknown,Opportunity Avenue,,
847824684,Trinity Sports Academy,Unknown,Knox Drive,,
881006559,Core Health & Body,Unknown,Old Forge Drive,,
921545532,Unknown,Unknown,Brittany Drive,,
923601023,La Gold Gymnastics,Unknown,Anselmo Lane,,
977578331,Karam’s Fitness,Kinder,3rd Avenue,,
983654408,The Wellness Center,West Monroe,Cypress Street,,
984553658,Unknown,Unknown,Unknown,,
990863390,Spectrum Fitness & Medical Wellness,Unknown,Unknown,,
1017455442,Elite Fitness,Shreveport,Roy Road Extension,,
1032428401,Arcola Mx,Roseland,Roch Road,,
1077150601,Anytime Fitness,Ruston,Goodwin Road,,
1119236883,The Compound,Shreveport,East 70th Street,,
1120099042,Unknown,Unknown,Unknown,,
1131203693,Anytime Fitness,Monroe,Oliver Road,,
1195998053,Anytime Fitness,Shreveport,Ellerbe Road,,
1195998096,Anytime Fitness,Shreveport,Southern Loop,,
1232197884,Anytime Fitness,St. Martinville,North Main Street,,
1240931077,Pryce/Miller Recreation Center,Lake Charles,Albert Street,,
1290546401,Planet Fitness,Unknown,Unknown,,
1293519160,Project Fit,Unknown,Unknown,,
1305857679,Anytime Fitness,West Monroe,North 7th Street,,
1319713336,Anytime Fitness,Shreveport,Mansfield Road,,
1333609597,Fitness Expo,Shreveport,Sand Beach Boulevard,,
1341653826,Anytime Fitness,Shreveport,North Market Street,,
1345308990,Snap Fitness,Unknown,Unknown,,
1346823525,Fit Body Boot Camp,Bossier City,Airline Drive,,
1355415939,Dynamic Dimensions,Unknown,Unknown,,
1362063408,Planet Fitness,Bossier City,Benton Road,,
